Page width: 1695.0px  RESOLUTION: 4px/bucket
Total bboxes: 198  narrow (<=475px): 189
Histogram buckets: 425
Detected gutters (px): [194, 434, 818, 1022, 1274]

Bucket | Centre_px | Count | Bar
  186 |    746.0 |     0 | 
  187 |    750.0 |     0 | 
  188 |    754.0 |     0 | 
  189 |    758.0 |     0 | 
  190 |    762.0 |     0 | 
  191 |    766.0 |     0 | 
  192 |    770.0 |     0 | 
  193 |    774.0 |     0 | 
  194 |    778.0 |     0 | 
  195 |    782.0 |     0 | 
  196 |    786.0 |     0 | 
  197 |    790.0 |     0 | 
  198 |    794.0 |     0 | 
  199 |    798.0 |     0 | 
  200 |    802.0 |     0 | 
  201 |    806.0 |     0 | 
  202 |    810.0 |     0 |  <- GUTTER
  203 |    814.0 |     0 |  <- GUTTER
  204 |    818.0 |     0 |  <- GUTTER
  205 |    822.0 |     0 |  <- GUTTER
  206 |    826.0 |     0 |  <- GUTTER
  207 |    830.0 |     0 | 
  208 |    834.0 |     0 | 
  209 |    838.0 |     0 | 
  210 |    842.0 |     0 | 
  211 |    846.0 |     0 | 
  212 |    850.0 |     0 | 
  213 |    854.0 |     0 | 
  214 |    858.0 |     0 | 
  215 |    862.0 |     0 | 
  216 |    866.0 |     0 | 
  217 |    870.0 |     0 | 
  218 |    874.0 |     0 | 
  219 |    878.0 |     0 | 
  220 |    882.0 |     0 | 
  221 |    886.0 |     0 | 
  222 |    890.0 |     1 | █
  223 |    894.0 |     0 | 
  224 |    898.0 |     0 | 
  225 |    902.0 |     0 | 
  226 |    906.0 |     1 | █
  227 |    910.0 |     0 | 
  228 |    914.0 |     0 | 
  229 |    918.0 |     0 | 
  230 |    922.0 |     0 | 
  231 |    926.0 |     0 | 
  232 |    930.0 |     0 | 
  233 |    934.0 |     0 | 
  234 |    938.0 |     0 | 
  235 |    942.0 |     0 | 
  236 |    946.0 |     0 | 
  237 |    950.0 |     0 | 
  238 |    954.0 |     0 | 
  239 |    958.0 |     0 | 
  240 |    962.0 |     0 | 
  241 |    966.0 |     0 | 
  242 |    970.0 |     0 | 
  243 |    974.0 |     0 | 
  244 |    978.0 |     1 | █
  245 |    982.0 |     0 | 
  246 |    986.0 |     0 | 
  247 |    990.0 |     2 | ██
  248 |    994.0 |     0 | 
  249 |    998.0 |     0 | 
  250 |   1002.0 |     0 | 
  251 |   1006.0 |     0 | 
  252 |   1010.0 |     0 | 
  253 |   1014.0 |     0 |  <- GUTTER
  254 |   1018.0 |     1 | █ <- GUTTER
  255 |   1022.0 |     0 |  <- GUTTER
  256 |   1026.0 |     0 |  <- GUTTER
  257 |   1030.0 |     0 |  <- GUTTER
  258 |   1034.0 |     0 | 
  259 |   1038.0 |     0 | 
  260 |   1042.0 |     0 | 
  261 |   1046.0 |     0 | 
  262 |   1050.0 |     0 | 
  263 |   1054.0 |     1 | █
  264 |   1058.0 |    22 | ████████████████████████████
  265 |   1062.0 |    17 | █████████████████████
  266 |   1066.0 |     0 | 
  267 |   1070.0 |     4 | █████
  268 |   1074.0 |     2 | ██
  269 |   1078.0 |     0 | 
  270 |   1082.0 |     1 | █
  271 |   1086.0 |     0 | 
  272 |   1090.0 |     0 | 
  273 |   1094.0 |     0 | 
  274 |   1098.0 |     0 | 
  275 |   1102.0 |     0 | 
  276 |   1106.0 |     0 | 
  277 |   1110.0 |     0 | 
  278 |   1114.0 |     0 | 
  279 |   1118.0 |     0 | 
  280 |   1122.0 |     0 | 
  281 |   1126.0 |     0 | 
  282 |   1130.0 |     0 | 
  283 |   1134.0 |     0 | 
  284 |   1138.0 |     0 | 
  285 |   1142.0 |     0 | 
  286 |   1146.0 |     0 | 
  287 |   1150.0 |     0 | 
  288 |   1154.0 |     0 | 
  289 |   1158.0 |     0 | 
  290 |   1162.0 |     0 | 
  291 |   1166.0 |     0 | 
  292 |   1170.0 |     0 | 
  293 |   1174.0 |     0 | 
  294 |   1178.0 |     0 | 
  295 |   1182.0 |     0 | 
  296 |   1186.0 |     0 | 
  297 |   1190.0 |     0 | 
  298 |   1194.0 |     0 | 
  299 |   1198.0 |     0 | 
  300 |   1202.0 |     0 | 
  301 |   1206.0 |     0 | 
  302 |   1210.0 |     0 | 
  303 |   1214.0 |     0 | 
  304 |   1218.0 |     0 | 
  305 |   1222.0 |     0 | 
  306 |   1226.0 |     0 | 
  307 |   1230.0 |     0 | 
  308 |   1234.0 |     0 | 
  309 |   1238.0 |     0 | 
  310 |   1242.0 |     0 | 
  311 |   1246.0 |     0 | 
  312 |   1250.0 |     0 | 
  313 |   1254.0 |     0 | 
  314 |   1258.0 |     0 | 
  315 |   1262.0 |     0 | 
  316 |   1266.0 |     0 |  <- GUTTER
  317 |   1270.0 |     0 |  <- GUTTER
  318 |   1274.0 |     0 |  <- GUTTER
  319 |   1278.0 |     0 |  <- GUTTER
  320 |   1282.0 |     0 |  <- GUTTER
  321 |   1286.0 |     0 | 
  322 |   1290.0 |     0 | 
  323 |   1294.0 |     0 | 
